"Name","State","dataset","classifier","imbalance","min_level","min_type","seed","accuracy","minority_recall","mcc"
"health-random_forest-95/5-vertical25-s22","finished","health","random_forest","95/5","25","vertical","22","0.95","0","0"
"health-random_forest-95/5-vertical25-s11","finished","health","random_forest","95/5","25","vertical","11","0.9497777777777778","0","-0.0034203078956098285"
"health-random_forest-95/5-horizontal25-s44","finished","health","random_forest","95/5","25","horizontal","44","0.9502222222222222","0","0"
"health-random_forest-95/5-horizontal25-s55","finished","health","random_forest","95/5","25","horizontal","55","0.9502222222222222","0","0"
"health-random_forest-95/5-horizontal25-s33","finished","health","random_forest","95/5","25","horizontal","33","0.9502222222222222","0","0"
"health-random_forest-95/5-horizontal25-s11","finished","health","random_forest","95/5","25","horizontal","11","0.9502222222222222","0","0"
"health-random_forest-95/5-horizontal25-s22","finished","health","random_forest","95/5","25","horizontal","22","0.9502222222222222","0","0"
"health-random_forest-95/5-vertical50-s55","finished","health","random_forest","95/5","50","vertical","55","0.9502222222222222","0.0044444444444444444","0.06498585001658674"
"health-random_forest-95/5-vertical50-s44","finished","health","random_forest","95/5","50","vertical","44","0.9497777777777778","0","-0.0034203078956098285"
"health-random_forest-95/5-vertical50-s33","finished","health","random_forest","95/5","50","vertical","33","0.95","0","0"
"health-random_forest-95/5-vertical50-s22","finished","health","random_forest","95/5","50","vertical","22","0.9495555555555556","0","-0.0048375834720891546"
"health-random_forest-95/5-vertical50-s11","finished","health","random_forest","95/5","50","vertical","11","0.95","0","0"
"health-random_forest-95/5-horizontal50-s55","finished","health","random_forest","95/5","50","horizontal","55","0.9502222222222222","0","0"
"health-random_forest-95/5-horizontal50-s44","finished","health","random_forest","95/5","50","horizontal","44","0.9497777777777778","0","-0.004826256873845619"
"health-random_forest-95/5-horizontal50-s33","finished","health","random_forest","95/5","50","horizontal","33","0.9498000888494004","0","0"
"health-random_forest-95/5-horizontal50-s22","finished","health","random_forest","95/5","50","horizontal","22","0.9502222222222222","0","0"
"health-random_forest-95/5-horizontal50-s11","finished","health","random_forest","95/5","50","horizontal","11","0.9502222222222222","0","0"
"health-random_forest-95/5-vertical75-s55","finished","health","random_forest","95/5","75","vertical","55","0.95","0","0"
"health-random_forest-95/5-vertical75-s44","finished","health","random_forest","95/5","75","vertical","44","0.95","0","0"
"health-random_forest-95/5-vertical75-s33","finished","health","random_forest","95/5","75","vertical","33","0.95","0","0"
"health-random_forest-95/5-vertical75-s22","finished","health","random_forest","95/5","75","vertical","22","0.9497777777777778","0","-0.0034203078956098285"
"health-random_forest-95/5-vertical75-s11","finished","health","random_forest","95/5","75","vertical","11","0.95","0","0"
"health-random_forest-95/5-horizontal75-s55","finished","health","random_forest","95/5","75","horizontal","55","0.949925925925926","0","0"
"health-random_forest-95/5-horizontal75-s44","finished","health","random_forest","95/5","75","horizontal","44","0.9496296296296296","0","-0.003952656317369214"
"health-random_forest-95/5-horizontal75-s33","finished","health","random_forest","95/5","75","horizontal","33","0.949925925925926","0","0"
"health-random_forest-95/5-horizontal75-s22","finished","health","random_forest","95/5","75","horizontal","22","0.9499407582938388","0","0"
