dataset,classifier,imbalance,min_level,min_type,seed,accuracy,minority_recall,macro_f1,balanced_accuracy,mcc,equal_opportunity_diff,fnr_diff,n_test,n_female_pos_test,status,run_id,runtime_sec,exported_at
adult,logistic_regression,90/10,75,horizontal,22,0.9205925925925926,0.3550295857988165,0.7147529940686284,0.6692829851944363,0.464713803979366,-0.2377622377622377,0.2377622377622378,3375,52,ok,91,34.6,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,horizontal,33,0.9208888888888888,0.3668639053254438,0.7193653116995352,0.6747062364954515,0.4705364668719234,-0.2256838905775075,0.2256838905775076,3375,56,ok,92,34.9,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,horizontal,44,0.9164444444444444,0.3431952662721893,0.7030702860009534,0.6617194638901283,0.4367265358144512,-0.0407324124638612,0.0407324124638612,3375,55,ok,93,35.3,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,horizontal,55,0.9182222222222224,0.3165680473372781,0.6963226185042708,0.6508753967341643,0.4367945592672242,-0.0898611111111111,0.0898611111111111,3375,50,ok,94,35.6,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,vertical,11,0.9148888888888888,0.3355555555555555,0.697407288735949,0.6574074074074074,0.4245173858045339,-0.1446496212121212,0.1446496212121211,4500,66,ok,95,36.1,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,vertical,22,0.9182222222222224,0.2977777777777777,0.6886927803795242,0.6424691358024691,0.4294256795775518,-0.2490014835102134,0.2490014835102134,4500,69,ok,96,36.5,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,vertical,33,0.924,0.3622222222222222,0.7234886923225081,0.674320987654321,0.4871490542121054,-0.0938757906843013,0.0938757906843013,4500,74,ok,97,37.0,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,vertical,44,0.9193333333333332,0.3577777777777777,0.7132084747027402,0.6697530864197531,0.4578128670441052,-0.0182769521456342,0.0182769521456341,4500,73,ok,98,37.5,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,vertical,55,0.9184444444444444,0.34,0.7053035195307126,0.6613580246913581,0.4461000544065898,-0.1321022727272727,0.1321022727272727,4500,66,ok,99,38.0,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,horizontal,11,0.9204444444444444,0.3466666666666667,0.7113472254573471,0.6654320987654321,0.4603099034480032,-0.0866477272727272,0.0866477272727272,2250,33,ok,100,38.3,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,horizontal,22,0.92,0.3333333333333333,0.7056899934597777,0.6592592592592592,0.4530333378893934,-0.056390977443609,0.0563909774436089,2250,35,ok,101,38.6,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,horizontal,33,0.9186666666666666,0.3422222222222222,0.7065073050634707,0.6624691358024691,0.4482205633644234,-0.1831512363427256,0.1831512363427256,2250,37,ok,102,39.0,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,horizontal,44,0.9164444444444444,0.3511111111111111,0.7056949078957255,0.6651851851851852,0.4393638763223417,-0.0967510063254744,0.0967510063254744,2250,37,ok,103,39.3,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,horizontal,55,0.9195555555555556,0.3644444444444444,0.7159001726573536,0.6728395061728395,0.4615262004087207,-0.1785037878787878,0.1785037878787878,2250,33,ok,104,39.7,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,vertical,11,0.9182222222222224,0.3377777777777778,0.7040963359407163,0.6602469135802469,0.443973000909428,-0.1650094696969697,0.1650094696969697,4500,66,ok,105,40.1,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,vertical,22,0.9195555555555556,0.3,0.69197757581625,0.6441975308641975,0.4391820434252261,-0.2345087298870249,0.2345087298870249,4500,69,ok,106,40.6,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,vertical,33,0.9228888888888888,0.3488888888888889,0.7167130587206751,0.6677777777777778,0.4761885529638541,-0.0940914318573892,0.0940914318573892,4500,74,ok,107,41.0,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,vertical,44,0.9195555555555556,0.3533333333333333,0.712068721719457,0.6679012345679012,0.4574459618073406,0.0033792376730496,-0.0033792376730495,4500,73,ok,108,41.5,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,50,vertical,55,0.9186666666666666,0.3377777777777778,0.7048968841267851,0.6604938271604939,0.446569309315227,-0.1650094696969697,0.1650094696969697,4500,66,ok,109,41.9,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,horizontal,11,0.9191111111111112,0.2654867256637168,0.6769985076463406,0.6287907936618979,0.4285857457347348,-0.1047794117647058,0.1047794117647058,1125,17,ok,110,42.3,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,horizontal,22,0.905861456483126,0.2410714285714285,0.6434153919694072,0.6101806846999155,0.3264626129211194,-0.0761609907120743,0.0761609907120742,1126,17,ok,111,42.6,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,horizontal,33,0.9244444444444444,0.3125,0.705520055431519,0.6523013326752221,0.4756632238826118,-0.1075650118203309,0.1075650118203309,1125,18,ok,112,42.9,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,horizontal,44,0.9262877442273536,0.4285714285714285,0.7481371288743004,0.7049168779938011,0.5185018779213433,-0.0472813238770685,0.0472813238770686,1126,18,ok,113,43.2,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,horizontal,55,0.9182222222222224,0.3451327433628318,0.7072963800904978,0.6636730910490048,0.4486562311724953,-0.1292892156862745,0.1292892156862743,1125,17,ok,114,43.5,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,vertical,11,0.9175555555555556,0.3377777777777778,0.7029029029029029,0.6598765432098765,0.4401383338701888,-0.1650094696969697,0.1650094696969697,4500,66,ok,115,44.0,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,vertical,22,0.9182222222222224,0.3,0.6895944408913588,0.6434567901234568,0.4301962027200267,-0.2516261554262239,0.251626155426224,4500,69,ok,116,44.4,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,vertical,33,0.9242222222222222,0.3511111111111111,0.7200507685057935,0.6695061728395062,0.4854937747674563,-0.0967510063254744,0.0967510063254744,4500,74,ok,117,44.9,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,vertical,44,0.9188888888888888,0.3466666666666667,0.7085011706983424,0.6645679012345679,0.4511588902191863,0.0440390974165182,-0.0440390974165183,4500,73,ok,118,45.3,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,25,vertical,55,0.9175555555555556,0.3266666666666666,0.6987970826887254,0.6549382716049383,0.4358407447548962,-0.1342329545454545,0.1342329545454545,4500,66,ok,119,45.8,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,horizontal,11,0.9553333333333334,0.2177777777777777,0.6523292021560587,0.6059649122807017,0.3631866133510715,-0.0608465608465608,0.0608465608465608,4500,36,ok,120,46.1,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,horizontal,22,0.9555555555555556,0.2,0.6436913575359278,0.5976608187134503,0.3567846690701938,-0.1663073606405913,0.1663073606405912,4500,34,ok,121,46.5,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,horizontal,33,0.9568888888888888,0.2177777777777777,0.6566690368170349,0.6067836257309942,0.3843330302193328,0.0391891891891891,-0.0391891891891891,4500,40,ok,122,46.8,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,horizontal,44,0.9551111111111112,0.1733333333333333,0.6277031454783748,0.5847953216374269,0.3363906985221138,-0.0699248120300751,0.0699248120300751,4500,35,ok,123,47.1,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,horizontal,55,0.9551111111111112,0.1822222222222222,0.6327783128324791,0.5890058479532164,0.3410683843049518,-0.012781954887218,0.012781954887218,4500,35,ok,124,47.5,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,vertical,11,0.9553333333333334,0.2177777777777777,0.6523292021560587,0.6059649122807017,0.3631866133510715,-0.0608465608465608,0.0608465608465608,4500,36,ok,125,47.8,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,vertical,22,0.9555555555555556,0.2,0.6436913575359278,0.5976608187134503,0.3567846690701938,-0.1663073606405913,0.1663073606405912,4500,34,ok,126,48.2,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,vertical,33,0.9568888888888888,0.2177777777777777,0.6566690368170349,0.6067836257309942,0.3843330302193328,0.0391891891891891,-0.0391891891891891,4500,40,ok,127,48.5,2026-07-14T14:34:29.463399
adult,logistic_regression,95/5,100,vertical,44,0.9551111111111112,0.1733333333333333,0.6277031454783748,0.5847953216374269,0.3363906985221138,-0.0699248120300751,0.0699248120300751,4500,35,ok,128,48.8,2026-07-14T14:34:29.463399
