dataset,classifier,imbalance,min_level,min_type,seed,run_id
adult,xgboost,90/10,50,horizontal,55,424
adult,xgboost,90/10,50,vertical,11,425
adult,xgboost,90/10,50,vertical,22,426
adult,xgboost,90/10,50,vertical,33,427
adult,xgboost,90/10,50,vertical,44,428
adult,xgboost,90/10,50,vertical,55,429
adult,xgboost,90/10,25,horizontal,11,430
adult,xgboost,90/10,25,horizontal,22,431
adult,xgboost,90/10,25,horizontal,33,432
adult,xgboost,90/10,25,horizontal,44,433
adult,xgboost,90/10,25,horizontal,55,434
adult,xgboost,90/10,25,vertical,11,435
adult,xgboost,90/10,25,vertical,22,436
adult,xgboost,90/10,25,vertical,33,437
adult,xgboost,90/10,25,vertical,44,438
adult,xgboost,90/10,25,vertical,55,439
adult,xgboost,95/5,100,horizontal,11,440
adult,xgboost,95/5,100,horizontal,22,441
adult,xgboost,95/5,100,horizontal,33,442
adult,xgboost,95/5,100,horizontal,44,443
adult,xgboost,95/5,100,horizontal,55,444
adult,xgboost,95/5,100,vertical,11,445
adult,xgboost,95/5,100,vertical,22,446
adult,xgboost,95/5,100,vertical,33,447
adult,xgboost,95/5,100,vertical,44,448
adult,xgboost,95/5,100,vertical,55,449
adult,xgboost,95/5,75,horizontal,11,450
adult,xgboost,95/5,75,horizontal,22,451
adult,xgboost,95/5,75,horizontal,33,452
adult,xgboost,95/5,75,horizontal,44,453
adult,xgboost,95/5,75,horizontal,55,454
adult,xgboost,95/5,75,vertical,11,455
adult,xgboost,95/5,75,vertical,22,456
adult,xgboost,95/5,75,vertical,33,457
adult,xgboost,95/5,75,vertical,44,458
adult,xgboost,95/5,75,vertical,55,459
adult,xgboost,95/5,50,horizontal,11,460
adult,xgboost,95/5,50,horizontal,22,461
adult,xgboost,95/5,50,horizontal,33,462
adult,xgboost,95/5,50,horizontal,44,463
adult,xgboost,95/5,50,horizontal,55,464
adult,xgboost,95/5,50,vertical,11,465
adult,xgboost,95/5,50,vertical,22,466
adult,xgboost,95/5,50,vertical,33,467
adult,xgboost,95/5,50,vertical,44,468
adult,xgboost,95/5,50,vertical,55,469
adult,xgboost,95/5,25,horizontal,11,470
adult,xgboost,95/5,25,horizontal,22,471
adult,xgboost,95/5,25,horizontal,33,472
adult,xgboost,95/5,25,horizontal,44,473
adult,xgboost,95/5,25,horizontal,55,474
adult,xgboost,95/5,25,vertical,11,475
adult,xgboost,95/5,25,vertical,22,476
adult,xgboost,95/5,25,vertical,33,477
adult,xgboost,95/5,25,vertical,44,478
adult,xgboost,95/5,25,vertical,55,479
health,logistic_regression,50/50,100,horizontal,11,480
health,logistic_regression,50/50,100,horizontal,22,481
health,logistic_regression,50/50,100,horizontal,33,482
health,logistic_regression,50/50,100,horizontal,44,483
health,logistic_regression,50/50,100,horizontal,55,484
health,logistic_regression,50/50,100,vertical,11,485
health,logistic_regression,50/50,100,vertical,22,486
health,logistic_regression,50/50,100,vertical,33,487
health,logistic_regression,50/50,100,vertical,44,488
health,logistic_regression,50/50,100,vertical,55,489
health,logistic_regression,50/50,75,horizontal,11,490
health,logistic_regression,50/50,75,horizontal,22,491
health,logistic_regression,50/50,75,horizontal,33,492
health,logistic_regression,50/50,75,horizontal,44,493
health,logistic_regression,50/50,75,horizontal,55,494
health,logistic_regression,50/50,75,vertical,11,495
health,logistic_regression,50/50,75,vertical,22,496
health,logistic_regression,50/50,75,vertical,33,497
health,logistic_regression,50/50,75,vertical,44,498
health,logistic_regression,50/50,75,vertical,55,499
health,logistic_regression,50/50,50,horizontal,11,500
health,logistic_regression,50/50,50,horizontal,22,501
health,logistic_regression,50/50,50,horizontal,33,502
health,logistic_regression,50/50,50,horizontal,44,503
health,logistic_regression,50/50,50,horizontal,55,504
health,logistic_regression,50/50,50,vertical,11,505
health,logistic_regression,50/50,50,vertical,22,506
health,logistic_regression,50/50,50,vertical,33,507
health,logistic_regression,50/50,50,vertical,44,508
health,logistic_regression,50/50,50,vertical,55,509
health,logistic_regression,50/50,25,horizontal,11,510
health,logistic_regression,50/50,25,horizontal,22,511
health,logistic_regression,50/50,25,horizontal,33,512
